PLAYER_ID,PLAYER_NAME,GAME_DATE,MATCHUP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,NBA_FANTASY_PTS,SEASON
2544,LeBron James,2021-12-21T00:00:00,LAL vs. PHX,34.0,34,7,2,2,0,2,0.684,0.4,1.0,0,49.4,2021-22
2544,LeBron James,2021-12-19T00:00:00,LAL @ CHI,39.41166666666667,31,14,6,1,2,4,0.524,0.143,0.727,-1,61.8,2021-22
2544,LeBron James,2021-12-17T00:00:00,LAL @ MIN,35.505,18,10,5,1,2,4,0.385,0.333,0.75,-11,42.5,2021-22
2544,LeBron James,2021-12-15T00:00:00,LAL @ DAL,42.96666666666667,24,3,5,1,0,2,0.474,0.444,0.667,-6,36.1,2021-22
2544,LeBron James,2021-12-12T00:00:00,LAL vs. ORL,37.18333333333333,30,11,10,0,3,6,0.6,0.429,0.75,14,61.2,2021-22
2544,LeBron James,2021-12-10T00:00:00,LAL @ OKC,34.68333333333333,33,5,6,3,2,2,0.65,0.667,0.75,19,61.0,2021-22
2544,LeBron James,2021-12-09T00:00:00,LAL @ MEM,37.4,20,10,11,4,2,5,0.467,0.167,1.0,2,61.5,2021-22
2544,LeBron James,2021-12-07T00:00:00,LAL vs. BOS,36.266666666666666,30,4,5,0,0,3,0.684,0.4,1.0,18,39.3,2021-22
2544,LeBron James,2021-12-03T00:00:00,LAL vs. LAC,36.25,23,11,6,2,0,3,0.391,0.25,0.6,-5,48.2,2021-22
2544,LeBron James,2021-11-28T00:00:00,LAL vs. DET,37.4,33,5,9,2,1,2,0.6,0.444,0.625,14,59.5,2021-22
2544,LeBron James,2021-11-26T00:00:00,LAL vs. SAC,49.75,30,7,11,1,0,7,0.4,0.154,0.727,-7,50.9,2021-22
2544,LeBron James,2021-11-24T00:00:00,LAL @ IND,43.46666666666667,39,5,6,1,2,2,0.448,0.417,0.889,-3,61.0,2021-22
2544,LeBron James,2021-11-21T00:00:00,LAL @ DET,21.433333333333334,10,1,5,0,0,2,0.571,0.333,1.0,-15,16.7,2021-22
2544,LeBron James,2021-11-19T00:00:00,LAL @ BOS,32.06666666666667,23,6,2,2,0,3,0.625,0.429,0.0,-4,36.2,2021-22
2544,LeBron James,2021-11-02T00:00:00,LAL vs. HOU,36.266666666666666,30,4,10,2,0,4,0.619,0.5,1.0,8,51.8,2021-22
2544,LeBron James,2021-10-31T00:00:00,LAL vs. HOU,34.53666666666667,15,7,8,4,1,2,0.316,0.0,0.75,7,48.4,2021-22
2544,LeBron James,2021-10-29T00:00:00,LAL vs. CLE,37.95,26,3,8,3,1,7,0.455,0.1,1.0,9,46.6,2021-22
2544,LeBron James,2021-10-24T00:00:00,LAL vs. MEM,40.3,19,6,6,2,2,3,0.368,0.444,0.5,-1,44.2,2021-22
2544,LeBron James,2021-10-22T00:00:00,LAL vs. PHX,36.53333333333333,25,2,5,2,0,5,0.444,0.556,1.0,-6,35.9,2021-22
2544,LeBron James,2021-10-19T00:00:00,LAL vs. GSW,36.748333333333335,34,11,5,1,1,4,0.565,0.455,0.5,-2,56.7,2021-22
2544,LeBron James,2023-04-09T00:00:00,LAL vs. UTA,33.221666666666664,36,6,6,1,1,2,0.52,0.571,1.0,20,56.2,2022-23
2544,LeBron James,2023-04-07T00:00:00,LAL vs. PHX,29.35,16,6,6,0,0,5,0.316,0.429,0.5,11,27.2,2022-23
2544,LeBron James,2023-04-05T00:00:00,LAL @ LAC,35.098333333333336,33,8,7,1,1,6,0.65,0.667,0.6,-10,53.1,2022-23
2544,LeBron James,2023-04-04T00:00:00,LAL @ UTA,38.46666666666667,37,5,6,1,1,5,0.519,0.3,1.0,-7,53.0,2022-23
2544,LeBron James,2023-04-02T00:00:00,LAL @ HOU,29.35,18,10,11,0,1,1,0.444,0.143,1.0,23,48.5,2022-23
2544,LeBron James,2023-03-31T00:00:00,LAL @ MIN,32.483333333333334,18,10,6,1,2,3,0.368,0.333,0.75,3,45.0,2022-23
2544,LeBron James,2023-03-29T00:00:00,LAL @ CHI,31.266666666666666,25,8,4,2,0,4,0.526,0.333,1.0,23,42.6,2022-23
2544,LeBron James,2023-03-26T00:00:00,LAL vs. CHI,29.518333333333334,19,8,3,0,0,5,0.545,0.0,0.875,4,28.1,2022-23
2544,LeBron James,2023-02-26T00:00:00,LAL @ DAL,36.85,26,8,3,1,1,3,0.435,0.167,0.714,0,43.1,2022-23
